CMDLINE D:\Wrishav\floorOverlay\.venv\Scripts\python.exe .\app.py
MEM 6.707031 1750936431.5011
MEM 6.707031 1750936431.6016
MEM 6.664062 1750936431.7021
MEM 6.664062 1750936431.8027
MEM 6.664062 1750936431.9034
MEM 6.664062 1750936432.0040
MEM 6.664062 1750936432.1044
MEM 6.664062 1750936432.2049
MEM 6.664062 1750936432.3057
MEM 6.664062 1750936432.4059
MEM 6.664062 1750936432.5065
MEM 6.664062 1750936432.6071
MEM 6.664062 1750936432.7075
MEM 6.664062 1750936432.8078
MEM 6.664062 1750936432.9086
MEM 6.664062 1750936433.0089
MEM 6.664062 1750936433.1098
MEM 6.664062 1750936433.2104
MEM 6.664062 1750936433.3111
MEM 6.664062 1750936433.4117
MEM 6.664062 1750936433.5122
MEM 6.664062 1750936433.6129
MEM 6.664062 1750936433.7133
MEM 6.664062 1750936433.8138
MEM 6.664062 1750936433.9147
MEM 6.664062 1750936434.0156
MEM 6.664062 1750936434.1163
MEM 6.664062 1750936434.2166
MEM 6.664062 1750936434.3170
MEM 6.664062 1750936434.4175
MEM 6.664062 1750936434.5179
MEM 6.664062 1750936434.6186
MEM 6.664062 1750936434.7192
MEM 6.664062 1750936434.8197
MEM 6.664062 1750936434.9204
MEM 6.664062 1750936435.0211
MEM 6.664062 1750936435.1217
MEM 6.664062 1750936435.2220
MEM 6.664062 1750936435.3227
MEM 6.664062 1750936435.4235
MEM 6.664062 1750936435.5240
MEM 6.664062 1750936435.6248
MEM 6.664062 1750936435.7255
MEM 6.664062 1750936435.8262
MEM 6.664062 1750936435.9268
MEM 6.664062 1750936436.0275
MEM 6.664062 1750936436.1284
MEM 6.664062 1750936436.2289
MEM 6.664062 1750936436.3293
MEM 6.664062 1750936436.4301
MEM 6.664062 1750936436.5306
MEM 6.664062 1750936436.6313
MEM 6.664062 1750936436.7321
MEM 6.664062 1750936436.8325
MEM 6.664062 1750936436.9328
MEM 6.664062 1750936437.0335
MEM 6.664062 1750936437.1347
MEM 6.664062 1750936437.2355
MEM 6.664062 1750936437.3362
MEM 6.664062 1750936437.4366
MEM 6.664062 1750936437.5372
MEM 6.664062 1750936437.6379
MEM 6.664062 1750936437.7386
MEM 6.664062 1750936437.8391
MEM 6.664062 1750936437.9396
MEM 6.664062 1750936438.0405
MEM 6.664062 1750936438.1412
MEM 6.664062 1750936438.2419
MEM 6.664062 1750936438.3424
MEM 6.664062 1750936438.4426
MEM 6.664062 1750936438.5433
MEM 6.664062 1750936438.6437
MEM 6.664062 1750936438.7441
MEM 6.664062 1750936438.8446
MEM 6.664062 1750936438.9452
MEM 6.664062 1750936439.0459
MEM 6.664062 1750936439.1460
MEM 6.664062 1750936439.2466
MEM 6.664062 1750936439.3472
MEM 6.664062 1750936439.4477
MEM 6.664062 1750936439.5489
MEM 6.664062 1750936439.6494
MEM 6.664062 1750936439.7500
MEM 6.664062 1750936439.8504
MEM 6.664062 1750936439.9508
MEM 6.664062 1750936440.0512
MEM 6.664062 1750936440.1515
MEM 6.664062 1750936440.2519
MEM 6.664062 1750936440.3524
MEM 6.664062 1750936440.4530
MEM 6.664062 1750936440.5537
MEM 6.664062 1750936440.6541
MEM 6.664062 1750936440.7547
MEM 6.664062 1750936440.8550
MEM 6.664062 1750936440.9552
MEM 6.664062 1750936441.0555
MEM 6.664062 1750936441.1562
MEM 6.664062 1750936441.2566
MEM 6.664062 1750936441.3569
MEM 6.664062 1750936441.4575
MEM 6.664062 1750936441.5579
MEM 6.664062 1750936441.6586
MEM 6.664062 1750936441.7594
MEM 6.664062 1750936441.8599
MEM 6.664062 1750936441.9602
MEM 6.664062 1750936442.0607
MEM 6.664062 1750936442.1612
MEM 6.664062 1750936442.2617
